id_permintaan,nomor_tiket,pemohon_nama,jenis_layanan_id,timestamp_submit,tanggal_selesai,status_penyelesaian,rating_kepuasan
REQ-119,TKT-202501-0119,"Umar Uwais, S.I.Kom",5,2025-01-16 21:20:37.635195,2025-01-19 19:20:37.635195,Selesai,3.83
REQ-120,TKT-202412-0120,"T. Martani Pranowo, S.Pt",3,2024-12-29 05:56:44.724990,2024-12-31 23:56:44.724990,Selesai,3.02
REQ-121,TKT-202507-0121,Langgeng Winarno,4,2025-07-14 06:15:01.753731,2025-07-14 18:15:01.753731,Selesai,4.7
REQ-122,TKT-202509-0122,Vanya Zulaika,3,2025-09-27 18:45:49.325233,2025-09-29 19:45:49.325233,Selesai,3.06
REQ-123,TKT-202501-0123,Endah Prastuti,5,2025-01-16 21:36:19.293666,2025-01-19 17:36:19.293666,Selesai,4.7
REQ-124,TKT-202509-0124,"Halima Hutasoit, S.T.",4,2025-09-25 14:40:29.476109,2025-09-27 04:40:29.476109,Selesai,4.0
REQ-125,TKT-202501-0125,Padma Mansur,3,2025-01-07 20:51:42.530344,2025-01-08 05:51:42.530344,Selesai,4.18
REQ-126,TKT-202501-0126,Kamaria Hartati,2,2025-01-30 01:12:47.355354,2025-01-30 16:12:47.355354,Selesai,3.37
REQ-127,TKT-202412-0127,"Halima Hutasoit, S.T.",1,2024-12-28 13:29:59.360251,2024-12-30 03:29:59.360251,Selesai,3.52
REQ-128,TKT-202511-0128,Cawisono Marbun,4,2025-11-23 03:01:36.248244,2025-11-25 14:01:36.248244,Selesai,3.66
REQ-129,TKT-202502-0129,dr. Daniswara Nasyiah,3,2025-02-18 02:20:39.652544,2025-02-19 17:20:39.652544,Selesai,4.66
REQ-130,TKT-202502-0130,"Halima Hutasoit, S.T.",3,2025-02-19 00:57:16.087491,2025-02-20 08:57:16.087491,Selesai,4.06
REQ-131,TKT-202507-0131,Mumpuni Mulyani,5,2025-07-30 14:15:31.646659,2025-07-30 18:15:31.646659,Selesai,4.14
REQ-132,TKT-202506-0132,Margana Anggraini,5,2025-06-05 04:14:33.784863,2025-06-08 04:14:33.784863,Selesai,3.5
REQ-133,TKT-202503-0133,Padma Mansur,5,2025-03-19 17:10:57.085482,2025-03-20 12:10:57.085482,Selesai,4.66
REQ-134,TKT-202502-0134,Adinata Mustofa,5,2025-02-20 02:54:18.796638,2025-02-20 16:54:18.796638,Selesai,3.39
REQ-135,TKT-202504-0135,Arsipatra Saragih,1,2025-04-30 16:41:54.474236,2025-04-30 18:41:54.474236,Selesai,4.46
REQ-136,TKT-202502-0136,Zamira Hidayat,2,2025-02-03 19:55:53.323851,2025-02-06 17:55:53.323851,Selesai,3.03
REQ-137,TKT-202502-0137,Jessica Permadi,5,2025-02-07 16:32:33.619348,2025-02-09 23:32:33.619348,Selesai,3.53
REQ-138,TKT-202507-0138,"R.M. Cahyadi Waskita, M.Ak",4,2025-07-14 15:07:22.252402,2025-07-16 00:07:22.252402,Selesai,3.3
REQ-139,TKT-202508-0139,Radika Andriani,1,2025-08-16 11:21:18.225748,2025-08-18 08:21:18.225748,Selesai,4.99
REQ-140,TKT-202509-0140,Ir. Kardi Setiawan,1,2025-09-04 11:13:34.810982,2025-09-05 13:13:34.810982,Selesai,4.07
REQ-141,TKT-202505-0141,Jessica Permadi,5,2025-05-30 08:57:49.397824,2025-05-31 03:57:49.397824,Selesai,4.14
REQ-142,TKT-202508-0142,Jayeng Nugroho,4,2025-08-28 23:25:34.692716,2025-08-31 02:25:34.692716,Selesai,3.68
REQ-143,TKT-202507-0143,"Dr. Koko Kurniawan, S.Kom",1,2025-07-22 13:55:19.195423,2025-07-25 02:55:19.195423,Selesai,3.13
REQ-144,TKT-202503-0144,Vega Astuti,2,2025-03-07 15:30:43.138728,2025-03-08 16:30:43.138728,Selesai,3.86
REQ-145,TKT-202509-0145,Mila Latupono,2,2025-09-25 22:46:22.767782,2025-09-28 20:46:22.767782,Selesai,3.98
REQ-146,TKT-202501-0146,Mulyanto Irawan,1,2025-01-16 21:22:16.484052,2025-01-19 13:22:16.484052,Selesai,3.83
REQ-147,TKT-202502-0147,Jagapati Narpati,5,2025-02-16 09:44:51.194281,2025-02-17 14:44:51.194281,Selesai,4.94
REQ-148,TKT-202505-0148,Cawisono Marbun,4,2025-05-11 05:17:48.416082,2025-05-12 06:17:48.416082,Selesai,4.07
REQ-149,TKT-202510-0149,Karya Siregar,2,2025-10-31 01:11:49.086449,2025-11-01 07:11:49.086449,Selesai,4.91
REQ-150,TKT-202502-0150,"drg. Lidya Saputra, S.Ked",1,2025-02-12 13:48:35.330708,2025-02-14 03:48:35.330708,Selesai,3.71
REQ-151,TKT-202501-0151,Ir. Yessi Maulana,1,2025-01-31 23:27:21.849912,2025-02-03 06:27:21.849912,Selesai,4.88
REQ-152,TKT-202412-0152,Kartika Mandala,5,2024-12-19 17:54:58.129546,2024-12-20 20:54:58.129546,Selesai,3.08
REQ-153,TKT-202510-0153,Vanya Zulaika,2,2025-10-09 01:20:30.477887,2025-10-10 06:20:30.477887,Selesai,4.84
REQ-154,TKT-202504-0154,Padma Mansur,4,2025-04-30 00:08:32.854961,2025-05-02 10:08:32.854961,Selesai,4.61
REQ-155,TKT-202509-0155,"T. Martani Pranowo, S.Pt",5,2025-09-02 12:36:45.576679,2025-09-03 03:36:45.576679,Selesai,4.97
REQ-156,TKT-202502-0156,"Farah Pudjiastuti, S.E.",5,2025-02-26 16:34:30.028996,2025-02-28 01:34:30.028996,Selesai,3.19
REQ-157,TKT-202506-0157,dr. Daniswara Nasyiah,4,2025-06-29 00:29:46.615708,2025-07-01 11:29:46.615708,Selesai,3.92
REQ-158,TKT-202509-0158,Arsipatra Saragih,2,2025-09-02 12:55:36.194538,2025-09-03 11:55:36.194538,Selesai,4.73
REQ-159,TKT-202506-0159,Kadir Nasyiah,2,2025-06-24 22:02:38.160863,2025-06-25 18:02:38.160863,Selesai,4.79
REQ-160,TKT-202504-0160,dr. Nasrullah Fujiati,5,2025-04-03 04:37:44.503762,2025-04-05 13:37:44.503762,Selesai,3.44
REQ-161,TKT-202509-0161,Ganep Gunawan,4,2025-09-11 02:53:05.574446,2025-09-12 14:53:05.574446,Selesai,4.27
REQ-162,TKT-202504-0162,Cawisono Marbun,4,2025-04-01 20:47:59.762910,2025-04-03 09:47:59.762910,Selesai,3.62
REQ-163,TKT-202502-0163,Kadir Nasyiah,5,2025-02-25 07:41:47.946409,2025-02-26 07:41:47.946409,Selesai,3.8
REQ-164,TKT-202505-0164,Lembah Narpati,1,2025-05-26 11:14:01.770318,2025-05-26 18:14:01.770318,Selesai,4.92
REQ-165,TKT-202501-0165,Adinata Mustofa,2,2025-01-16 12:52:57.305825,2025-01-17 22:52:57.305825,Selesai,4.5
REQ-166,TKT-202506-0166,Radika Andriani,3,2025-06-15 10:10:39.698832,2025-06-17 21:10:39.698832,Selesai,4.22
REQ-167,TKT-202502-0167,Karya Siregar,3,2025-02-17 21:47:19.603948,2025-02-19 11:47:19.603948,Selesai,3.54
REQ-168,TKT-202506-0168,Margana Anggraini,4,2025-06-01 10:55:17.275943,2025-06-01 16:55:17.275943,Selesai,4.8
REQ-169,TKT-202508-0169,"R.M. Cahyadi Waskita, M.Ak",2,2025-08-05 22:49:49.308202,2025-08-06 04:49:49.308202,Selesai,3.77
REQ-170,TKT-202507-0170,Kamaria Hartati,2,2025-07-06 09:31:33.848276,2025-07-07 02:31:33.848276,Selesai,3.31
REQ-171,TKT-202504-0171,Jayeng Nugroho,3,2025-04-01 05:01:53.671082,2025-04-03 14:01:53.671082,Selesai,4.09
REQ-172,TKT-202508-0172,dr. Daniswara Nasyiah,2,2025-08-11 02:08:43.381445,2025-08-13 16:08:43.381445,Selesai,3.21
REQ-173,TKT-202511-0173,Jayeng Nugroho,1,2025-11-11 20:15:01.842294,2025-11-13 06:15:01.842294,Selesai,4.31
REQ-174,TKT-202501-0174,Jayeng Nugroho,5,2025-01-12 01:09:11.996754,2025-01-14 06:09:11.996754,Selesai,4.9
REQ-175,TKT-202508-0175,Jayeng Nugroho,1,2025-08-12 06:29:53.770731,2025-08-14 00:29:53.770731,Selesai,3.74
REQ-176,TKT-202412-0176,Cawisono Marbun,1,2024-12-31 08:14:20.631290,2025-01-02 23:14:20.631290,Selesai,3.98
REQ-177,TKT-202503-0177,Ir. Yessi Maulana,1,2025-03-11 12:41:42.418152,2025-03-13 19:41:42.418152,Selesai,3.03
REQ-178,TKT-202510-0178,Zalindra Damanik,2,2025-10-28 02:21:41.315796,2025-10-29 16:21:41.315796,Selesai,3.97
REQ-179,TKT-202508-0179,Vega Astuti,5,2025-08-09 01:11:04.565984,2025-08-10 16:11:04.565984,Selesai,4.18
REQ-180,TKT-202503-0180,Endah Prastuti,1,2025-03-03 12:07:57.709239,2025-03-03 15:07:57.709239,Selesai,3.67
REQ-181,TKT-202412-0181,Kartika Mandala,2,2024-12-29 15:14:48.393468,2024-12-30 16:14:48.393468,Selesai,3.85
REQ-182,TKT-202501-0182,Arsipatra Saragih,4,2025-01-15 12:32:35.879728,2025-01-15 17:32:35.879728,Selesai,3.09
REQ-183,TKT-202503-0183,"T. Martani Pranowo, S.Pt",2,2025-03-30 18:49:55.002503,2025-04-01 20:49:55.002503,Selesai,4.39
REQ-184,TKT-202505-0184,"Nadia Wibowo, S.Psi",3,2025-05-05 13:10:37.743973,2025-05-07 05:10:37.743973,Selesai,4.78
REQ-185,TKT-202507-0185,Tgk. Titin Saefullah,2,2025-07-15 18:32:22.450983,2025-07-16 12:32:22.450983,Selesai,3.94
REQ-186,TKT-202507-0186,Tgk. Cici Rajata,3,2025-07-12 16:17:40.335288,2025-07-15 05:17:40.335288,Selesai,4.39
REQ-187,TKT-202503-0187,Vanya Zulaika,3,2025-03-17 22:38:28.471690,2025-03-20 08:38:28.471690,Selesai,4.15
REQ-188,TKT-202412-0188,Mila Latupono,4,2024-12-25 04:49:31.557900,2024-12-25 19:49:31.557900,Selesai,3.68
REQ-189,TKT-202502-0189,Mulyanto Irawan,4,2025-02-15 15:17:07.140698,2025-02-18 12:17:07.140698,Selesai,4.62
REQ-190,TKT-202510-0190,Zamira Hidayat,5,2025-10-13 02:06:30.452954,2025-10-14 19:06:30.452954,Selesai,4.0
REQ-191,TKT-202508-0191,"Nadia Wibowo, S.Psi",4,2025-08-23 21:50:49.361173,2025-08-25 18:50:49.361173,Selesai,3.28
REQ-192,TKT-202508-0192,"Dr. Koko Kurniawan, S.Kom",4,2025-08-27 22:30:02.040245,2025-08-29 23:30:02.040245,Selesai,4.91
REQ-193,TKT-202506-0193,Jessica Permadi,5,2025-06-07 18:05:23.388081,2025-06-09 12:05:23.388081,Selesai,3.85
REQ-194,TKT-202501-0194,Cindy Handayani,5,2025-01-25 15:36:27.415049,2025-01-26 06:36:27.415049,Selesai,3.34
REQ-195,TKT-202502-0195,Adinata Mustofa,1,2025-02-22 21:57:00.136168,2025-02-24 07:57:00.136168,Selesai,3.54
